clue_id,pack_id,pack_name,category_set_id,content_kind,round,tier,difficulty,macro_topic,category_name_en,category_name_et,clue_en,clue_et,response_en,response_et,accepted_variants_en,accepted_variants_et,explanation_en,explanation_et,source_title,source_url,source_license,source_retrieved_at,translation_status,enabled
built-in-art-architecture-accessible-corpus-001,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-001,board,round-one,1,easy,artists,Art & Architecture: Primary and Secondary Colours,,"In the traditional painters’ RYB model, which colour joins red and yellow as a primary?",Milline värv kuulub maalikunstnike traditsioonilises RYB-mudelis punase ja kollase kõrval põhivärvide hulka?,blue,sinine,,,"Blue, red and yellow form the traditional RYB set of primary colours.","Sinine, punane ja kollane moodustavad traditsioonilise RYB-põhivärvide kolmiku.",Primary color — Wikipedia,https://en.wikipedia.org/wiki/Primary_color,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-002,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-001,board,round-one,2,easy,artists,Art & Architecture: Primary and Secondary Colours,,Which secondary colour is made by mixing red and blue paint?,Milline sekundaarvärv saadakse punase ja sinise värvi segamisel?,purple,lilla,violet,violetne,"In the RYB model, red and blue pigments combine to make purple or violet.",RYB-mudelis annavad punane ja sinine pigment lilla ehk violetse värvi.,Secondary color — Wikipedia,https://en.wikipedia.org/wiki/Secondary_color,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-003,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-001,board,round-one,3,easy,artists,Art & Architecture: Primary and Secondary Colours,,"On a traditional RYB colour wheel, which secondary colour sits opposite blue?",Milline sekundaarvärv asub traditsioonilisel RYB-värviringil sinise vastas?,orange,oranž,orange colour,oranž värv,Blue and orange are complementary colours because they face each other on the RYB wheel.,"Sinine ja oranž on komplementaarvärvid, sest nad paiknevad RYB-värviringil vastakuti.",Complementary colors — Wikipedia,https://en.wikipedia.org/wiki/Complementary_colors,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-004,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-001,board,round-one,4,easy,artists,Art & Architecture: Primary and Secondary Colours,,"In the additive RGB model used by screens, which colour joins red and blue as a primary?",Milline värv on ekraanide liitvas RGB-mudelis punase ja sinise kõrval põhivärv?,green,roheline,,,"Screens combine red, green and blue light as the three additive primaries.","Ekraanid ühendavad liitva värvimudeli kolme põhivärvina punast, rohelist ja sinist valgust.",RGB color model — Wikipedia,https://en.wikipedia.org/wiki/RGB_color_model,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-005,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-001,board,round-one,5,easy,artists,Art & Architecture: Primary and Secondary Colours,,Which blue-green printing primary appears beside magenta and yellow in the CMYK colour model?,Milline sinakasroheline trükivärvi põhivärv on CMYK-värvimudelis magenta ja kollase kõrval?,cyan,tsüaan,process cyan,tsüaansinine,"Cyan, magenta and yellow are the subtractive colour primaries used by CMYK printing, with black added as the key plate.","Tsüaan, magenta ja kollane on CMYK-trüki lahutavad põhivärvid ning neile lisatakse võtmeplaadina must.",CMYK color model — Wikipedia,https://en.wikipedia.org/wiki/CMYK_color_model,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-006,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-002,board,round-one,1,easy,painting,Art & Architecture: Tools of the Painter,,Which handheld tool uses bristles to spread paint across a surface?,Millise käes hoitava harjastega töövahendiga kantakse värvi pinnale?,paintbrush,pintsel,brush,maalipintsel,A paintbrush holds paint in its bristles and transfers it to canvas or another surface.,Pintsli harjased hoiavad värvi ja kannavad selle lõuendile või muule pinnale.,Paintbrush — Wikipedia,https://en.wikipedia.org/wiki/Paintbrush,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-007,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-002,board,round-one,2,easy,painting,Art & Architecture: Tools of the Painter,,What flat surface does a painter traditionally use to hold and mix colours?,"Kuidas nimetatakse tasast alust, millel maalikunstnik värve hoiab ja segab?",palette,palett,artist’s palette;artists palette,maalipalett,A painter’s palette provides a portable surface for arranging and mixing paint.,Maalipalett on kaasaskantav alus värvide paigutamiseks ja segamiseks.,Palette (painting) — Wikipedia,https://en.wikipedia.org/wiki/Palette_(painting),CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-008,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-002,board,round-one,3,easy,painting,Art & Architecture: Tools of the Painter,,What upright support holds a canvas while an artist works?,"Kuidas nimetatakse püstist alust, mis hoiab kunstniku töötamise ajal lõuendit?",easel,molbert,,,An easel is a stand designed to display or support an artist’s canvas.,"Molbert on alus, mis on mõeldud kunstniku lõuendi hoidmiseks või eksponeerimiseks.",Easel — Wikipedia,https://en.wikipedia.org/wiki/Easel,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-009,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-002,board,round-one,4,easy,painting,Art & Architecture: Tools of the Painter,,"Which blunt, flexible blade can mix paint or apply thick strokes without bristles?",Millise tömbi painduva labaga saab värvi segada või kanda peale pakse pintslita kihte?,palette knife,palettnuga,painting knife,maalinuga,"A palette knife mixes paint, while similar painting knives can lay pigment directly on a surface.",Palettnuga segab värvi ning sarnase maalimisnoaga saab pigmenti otse pinnale kanda.,Palette knife — Wikipedia,https://en.wikipedia.org/wiki/Palette_knife,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-010,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-002,board,round-one,5,easy,painting,Art & Architecture: Tools of the Painter,,Which tool uses compressed air to spray a fine mist of paint through a small nozzle?,"Milline tööriist kasutab suruõhku, et pihustada värv läbi väikese düüsi peene uduna?",an airbrush,aerograaf,air brush,õhupintsel,"An airbrush mixes paint with a stream of compressed air to create a controlled, even spray.","Aerograaf ühendab värvi suruõhujoaga, et tekitada juhitav ja ühtlane pihustus.",Airbrush — Wikipedia,https://en.wikipedia.org/wiki/Airbrush,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-011,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-003,board,round-one,1,easy,sculpture,Art & Architecture: Materials of Sculpture,,Michelangelo carved his famous David from which pale stone?,Millisest heledast kivimist raius Michelangelo oma kuulsa Taaveti?,marble,marmor,,,Michelangelo’s David was carved from a single block of Carrara marble.,Michelangelo Taavet raiuti ühest Carrara marmori plokist.,David (Michelangelo) — Wikipedia,https://en.wikipedia.org/wiki/David_(Michelangelo),CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-012,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-003,board,round-one,2,easy,sculpture,Art & Architecture: Materials of Sculpture,,Which copper-and-tin alloy is commonly cast for durable outdoor statues?,Millist vase ja tina sulamit valatakse sageli vastupidavateks väliskujudeks?,bronze,pronks,,,"Bronze flows well in a mould and withstands weather, making it a classic sculpture material.","Pronks täidab valuvormi hästi ja peab ilmastikule vastu, mistõttu on see klassikaline skulptuurimaterjal.",Bronze sculpture — Wikipedia,https://en.wikipedia.org/wiki/Bronze_sculpture,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-013,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-003,board,round-one,3,easy,sculpture,Art & Architecture: Materials of Sculpture,,Which soft earth-based material can be shaped by hand and hardened by firing?,Millist pehmet maapõhist materjali saab käsitsi vormida ja põletades kõvastada?,clay,savi,,,Clay is plastic when wet and becomes hard ceramic when fired.,Savi on niiskena voolitav ning muutub põletamisel kõvaks keraamikaks.,Clay — Wikipedia,https://en.wikipedia.org/wiki/Clay,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-014,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-003,board,round-one,4,easy,sculpture,Art & Architecture: Materials of Sculpture,,What material is a sculptor carving when gouges reveal a figure inside a tree trunk?,"Millist materjali töötleb skulptor, kes toob peitlitega puutüvest kuju esile?",wood,puit,timber,puu,Wood carving removes pieces of timber with cutting tools to create a form.,"Puunikerduses eemaldatakse lõikeriistadega puitu, et luua soovitud vorm.",Wood carving — Wikipedia,https://en.wikipedia.org/wiki/Wood_carving,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-015,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-003,board,round-one,5,easy,sculpture,Art & Architecture: Materials of Sculpture,,Which quick-setting white material is poured into moulds and used for sculpture casts?,Millist kiiresti tarduvat valget materjali valatakse vormidesse ja kasutatakse skulptuuride jäljendite tegemiseks?,plaster,kips,plaster of Paris,krohvkips,Plaster of Paris sets after mixing with water and is widely used for moulds and casts.,Veega segatud kips tardub ning seda kasutatakse laialt vormide ja valandite valmistamiseks.,Plaster — Wikipedia,https://en.wikipedia.org/wiki/Plaster,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-016,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-004,board,round-one,1,easy,photography-history,Art & Architecture: Great Art Museums,,Which Paris museum houses the Mona Lisa?,Millises Pariisi muuseumis asub Mona Lisa?,the Louvre,Louvre,Louvre Museum;Musée du Louvre,Louvre’i muuseum,"The Mona Lisa is displayed in the Louvre, the former royal palace beside the Seine.",Mona Lisa on välja pandud Seine’i ääres asuvas endises kuningapalees Louvre’is.,Louvre — Wikipedia,https://en.wikipedia.org/wiki/Louvre,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-art-architecture-accessible-corpus-017,built-in-art-architecture,Art and Architecture Pack,built-in-art-architecture-set-004,board,round-one,2,easy,photography-history,Art & Architecture: Great Art Museums,,Which Madrid museum is especially famous for Spanish masters such as Velázquez and Goya?,"Milline Madridi muuseum on eriti kuulus Hispaania meistrite, näiteks Velázqueze ja Goya poolest?",the Prado,Prado,Prado Museum;Museo del Prado,Prado muuseum,The Prado’s collection is centred on European art and is particularly rich in Spanish painting.,Prado kogu keskendub Euroopa kunstile ja on eriti rikas Hispaania maalikunsti poolest.,Museo del Prado — Wikipedia,https://en.wikipedia.org/wiki/Museo_del_Prado,CC-BY-SA-4.0,2026-08-28,reviewed,true
